시도명,시군구명,행정구역_코드,행정동명,경도,위도
경기도,가평군,31570110,가평읍,127.48751350850954,37.8288414914034
경기도,가평군,31570350,북면,127.49410687830124,37.94453134784336
경기도,가평군,31570330,상면,127.33774943361252,37.79076862982149
경기도,가평군,31570310,설악면,127.49913012623819,37.6533473310777
경기도,가평군,31570360,조종면,127.3717553133884,37.86712137432729
경기도,가평군,31570320,청평면,127.42934047549687,37.72976828693363
경기도,고양시 덕양구,31101590,고양동,126.90421439632097,37.70929303097809
경기도,고양시 덕양구,31101600,관산동,126.86372669234734,37.70968622889707
경기도,고양시 덕양구,31101610,능곡동,126.799835764715,37.62770797921358
경기도,고양시 덕양구,31101680,대덕동,126.85616332482846,37.589570853522524
경기도,고양시 덕양구,31101512,삼송1동,126.90686283724536,37.66326239592619
경기도,고양시 덕양구,31101513,삼송2동,126.87462257372904,37.65190061249557
경기도,고양시 덕양구,31101540,성사1동,126.84533499805416,37.6596808157147
경기도,고양시 덕양구,31101550,성사2동,126.840435839293,37.65006796584381
경기도,고양시 덕양구,31101520,원신동,126.8647057947867,37.67146481333941
경기도,고양시 덕양구,31101510,주교동,126.8278263942953,37.66171541346403
경기도,고양시 덕양구,31101580,창릉동,126.89220990270377,37.63112695461005
경기도,고양시 덕양구,31101650,행신1동,126.83382233143865,37.62128719176151
경기도,고양시 덕양구,31101660,행신2동,126.84099841617551,37.60732811918444
경기도,고양시 덕양구,31101514,행신3동,126.83960075768111,37.62525580584059
경기도,고양시 덕양구,31101515,행신4동,126.84828716841834,37.6196278649512
경기도,고양시 덕양구,31101640,행주동,126.81979427661172,37.607501616030426
경기도,고양시 덕양구,31101670,화전동,126.88362747247965,37.60360346438536
경기도,고양시 덕양구,31101620,화정1동,126.83302605436961,37.6419373201213
경기도,고양시 덕양구,31101630,화정2동,126.83656427365528,37.63214768873319
경기도,고양시 덕양구,31101560,효자동,126.95874929051249,37.66290955495199
경기도,고양시 덕양구,31101511,흥도동,126.8609076443274,37.63290387651605
경기도,고양시 일산동구,31103600,고봉동,126.81381031702092,37.70675732875103
경기도,고양시 일산동구,31103560,마두1동,126.78379449827247,37.660742654786105
경기도,고양시 일산동구,31103570,마두2동,126.78215024471092,37.6533863677508
경기도,고양시 일산동구,31103550,백석1동,126.79241453914914,37.64753710679478
경기도,고양시 일산동구,31103610,백석2동,126.78440647802695,37.642221090247084
경기도,고양시 일산동구,31103510,식사동,126.81613684471378,37.67890961970051
경기도,고양시 일산동구,31103580,장항1동,126.76106173827144,37.643619136920066
경기도,고양시 일산동구,31103590,장항2동,126.76885443724476,37.6557483289064
경기도,고양시 일산동구,31103530,정발산동,126.7780208408393,37.67046022056511
경기도,고양시 일산동구,31103511,중산1동,126.78284496800927,37.690977610079344
경기도,고양시 일산동구,31103512,중산2동,126.78672942802659,37.681124083884065
경기도,고양시 일산동구,31103540,풍산동,126.80143785484152,37.66219737755682
경기도,고양시 일산서구,31104514,가좌동,126.69867950387234,37.68581571311337
경기도,고양시 일산서구,31104570,대화동,126.74847824393335,37.67652079613703
경기도,고양시 일산서구,31104513,덕이동,126.74369155695715,37.69584483802157
경기도,고양시 일산서구,31104580,송포동,126.72281113752426,37.667081422762905
경기도,고양시 일산서구,31104510,일산1동,126.767918475922,37.68779933111081
경기도,고양시 일산서구,31104520,일산2동,126.77467400131299,37.685734263151915
경기도,고양시 일산서구,31104530,일산3동,126.7678126499591,37.67912735747999
경기도,고양시 일산서구,31104550,주엽1동,126.76570175324274,37.6696649635631
경기도,고양시 일산서구,31104560,주엽2동,126.75838168355756,37.67278822622268
경기도,고양시 일산서구,31104511,탄현1동,126.76636716425621,37.69424403173555
경기도,고양시 일산서구,31104512,탄현2동,126.77057619137199,37.70034352172179
경기도,과천시,31110521,갈현동,126.9841398281829,37.41059514190759
경기도,과천시,31110550,과천동,127.0085925171648,37.450822027802126
경기도,과천시,31110560,문원동,127.01909903942122,37.42479674100793
경기도,과천시,31110530,별양동,126.99554641250019,37.42759933425275
경기도,과천시,31110540,부림동,126.9988247427263,37.43504643221649
경기도,과천시,31110522,원문동,126.97681204098558,37.42137799207206
경기도,과천시,31110510,중앙동,126.97928876559911,37.43594616315952
경기도,광명시,31060510,광명1동,126.86170269202917,37.48724997113819
경기도,광명시,31060520,광명2동,126.85775083164584,37.48298049435219
경기도,광명시,31060530,광명3동,126.85632787208219,37.48009310509258
경기도,광명시,31060540,광명4동,126.8547728670656,37.47768903414758
경기도,광명시,31060550,광명5동,126.84860294137977,37.47717103137391
경기도,광명시,31060560,광명6동,126.83886783778458,37.46725859648181
경기도,광명시,31060570,광명7동,126.85123095752944,37.46548891084839
경기도,광명시,31060660,소하1동,126.88731889975486,37.444724537783024
경기도,광명시,31060690,소하2동,126.87661181560932,37.43501510629265
경기도,광명시,31060700,일직동,126.88261777301955,37.41993069810399
경기도,광명시,31060580,철산1동,126.86955331560587,37.488911824833465
경기도,광명시,31060590,철산2동,126.86672013604036,37.48340903418961
경기도,광명시,31060600,철산3동,126.87098629149054,37.475420581933335
경기도,광명시,31060610,철산4동,126.86329625831688,37.47257518940388
경기도,광명시,31060620,하안1동,126.86647311061417,37.457483151698604
경기도,광명시,31060630,하안2동,126.8742816652999,37.464710668382715
경기도,광명시,31060640,하안3동,126.8823241203883,37.45986744982443
경기도,광명시,31060650,하안4동,126.8796360232599,37.46702755842939
경기도,광명시,31060680,학온동,126.85510439129607,37.42956830059548
경기도,광주시,31250540,경안동,127.25270465112715,37.40540097038651
