자치구,행정동,힐링,액티비티,문화,음식,쇼핑,숙박,체험다양성_엔트로피,체험다양성_표준편차
가평군,가평읍,8.876844380824027,35.53541128522813,8.340897504924818,32.22043002071028,0.8897148999519007,0.0,1.241378048658467,15.629018540435721
가평군,북면,16.51375359633299,39.81765759862487,9.0,5.884204814209673,0.06078080045837652,0.0,1.1373162858065866,15.01370497060909
가평군,상면,6.450963926424317,25.26822914143411,3.985214294565731,17.605722538903734,0.1332934080235783,0.0,1.183714733572541,10.29491385662573
가평군,설악면,8.757376364359688,47.9740146016073,4.162963560779529,28.523808511501784,0.939065013669107,0.0,1.115577123455319,19.231637310884402
가평군,조종면,2.879344967449759,20.849043500556963,3.314120754088863,16.775161313593404,0.7330216337301723,0.058038397131576575,1.1694665611902888,8.991628230496742
가평군,청평면,7.19727780672924,28.249706180972716,4.105452216173589,30.875513509839426,0.19688954771292122,0.0,1.1427551791019739,14.062192040439482
고양시 덕양구,고양동,1.167036572143167,3.2194038319488847,1.8240551825739613,7.130759340068764,1.770522052379222,0.0,1.3880329481983775,2.4889846348456035
고양시 덕양구,관산동,1.271260777750539,2.3439848187444987,1.5918820195520273,7.019729234704074,3.0263004405561227,0.0,1.4088227789380114,2.420871006582846
고양시 덕양구,능곡동,0.8431896662325588,1.1385319270878262,0.9910908148039863,6.799746352513686,7.205223339816567,0.0,1.226379004854717,3.2588473757501912
고양시 덕양구,대덕동,0.6039786970576597,0.9549087573623334,0.8386472364954654,5.221034289438001,4.905348296943373,0.0,1.2553772580601885,2.3306734574532384
고양시 덕양구,삼송1동,1.0002869598640711,2.2450725941294394,1.4656975300154176,7.1889511183012464,2.9587602417544527,0.0,1.3683014998840637,2.5229866405354446
고양시 덕양구,삼송2동,0.9287880777780976,1.7522346791246355,1.1739537456983093,7.504415508887615,5.859770948341289,0.0,1.3019127076720616,3.051154314421012
고양시 덕양구,성사1동,0.8327683781193775,1.4458365675424065,1.1400974717136334,6.782533660336957,4.627754360886999,0.0,1.3071200565947185,2.6401824117642607
고양시 덕양구,성사2동,0.6816342063170949,1.1689832526742863,1.022865253072778,6.4468793407871745,4.793320778617062,0.0,1.2675627217402237,2.615960136254923
고양시 덕양구,원신동,0.9750176531707089,2.0436115878648318,1.3619559560772545,7.733462870927121,4.62322995730995,0.0,1.3386337747153196,2.8800424430973526
고양시 덕양구,주교동,0.742976071800117,1.2081653176834561,1.0793293629071345,6.952250164072852,5.0136634097186965,0.0,1.263870322935656,2.7987607283151776
고양시 덕양구,창릉동,0.8826441844647134,1.9048953143010534,1.2451147420750477,8.04156186571192,8.428730329598398,0.0,1.258819649748015,3.7843469119774187
고양시 덕양구,행신1동,0.7141498457302673,1.117880208855468,0.8717925157338099,5.858162020422115,5.285099305806441,0.0,1.261728134824707,2.5617599371294864
고양시 덕양구,행신2동,0.7677499073349658,1.2291772773327936,0.9549770072697521,6.190194223537334,5.450355772828495,0.0,1.2733860914232864,2.6663543332786537
고양시 덕양구,행신3동,0.7002087330890061,1.1024045691855735,0.868798967387852,5.788259316109997,4.837524948591608,0.0,1.269617750196325,2.445271110108357
고양시 덕양구,행주동,0.8623232637986105,1.1983079142427315,0.9177339035495136,6.7001346511872475,6.121650560320855,0.0,1.250781817361207,2.9590785896619956
고양시 덕양구,화전동,0.5984151803734823,1.584399370361723,0.9608049644955123,6.263736127342365,5.642635460997695,0.0,1.273518536614081,2.724515423157885
고양시 덕양구,화정1동,0.7461458489699183,1.161722222185468,0.9863910450899986,6.01702851253335,4.9697915130814945,0.0,1.2827418858794775,2.5166922559976728
고양시 덕양구,화정2동,0.6643489970429941,1.0536436057026743,0.8720444031290192,5.5780449153608185,4.923182054176475,0.0,1.2658018910074735,2.4124991364185067
고양시 덕양구,효자동,1.2239603725072392,3.1761238610976257,3.3424227315448305,6.709259102731453,1.9026442020906802,0.0,1.4525948739266161,2.315774382149097
고양시 덕양구,흥도동,0.7481063526582302,1.3308718951799705,0.9244076409963763,6.869041031623144,5.63019880977095,0.0,1.2536968927694878,2.898725300751254
고양시 일산동구,고봉동,1.0352031994767745,1.5253093868964898,1.198396586203112,8.08838561452345,5.410597621505893,0.0,1.2872493130111256,3.1588534473030365
고양시 일산동구,마두1동,0.8956371214259908,1.077734501439664,1.1883460855738057,7.909435103518785,7.089718963634182,0.0,1.2236652054498658,3.499416483543296
고양시 일산동구,마두2동,0.9820713531402792,1.1065475691984046,1.4291588409292044,7.808130055105115,7.413451740653448,0.0,1.2495154531232497,3.510848963223887
고양시 일산동구,백석1동,0.8717216518503849,1.0544460339088326,1.1933931408192588,7.306022425194697,7.3579436121404616,0.0,1.2272198693229948,3.408937337516841
고양시 일산동구,백석2동,0.9150519050957251,1.138407632705157,1.2782864373468021,7.162343927585518,8.434818644987743,0.0,1.2254401401778716,3.646789851892089
고양시 일산동구,식사동,0.8562025583134445,1.3799125057016082,1.1807230773370907,7.631228168674176,5.450465423209515,0.0,1.2723170034492446,3.0531177549999917
고양시 일산동구,장항1동,1.0502472409568215,1.2026335726259836,1.2784452884028357,7.657126920870887,8.837149790244334,0.0,1.2277565271759274,3.848976926200336
고양시 일산동구,장항2동,1.0488839175075857,1.1885511012608474,1.3582091488453898,7.891697659356254,8.07288865970649,0.0,1.243749876906794,3.688925690806014
고양시 일산동구,정발산동,0.8962867007035178,0.9805212524727467,1.0954017504670306,7.441823086996236,6.547573332856597,0.0,1.226004209522733,3.2639472155816627
