자치구,행정동,힐링,액티비티,문화,음식,쇼핑,체험다양성_엔트로피,체험다양성_표준편차
강남구,개포2동,1.1593389465503405,0.3423780155130988,1.9644599086108734,4.01372923359922,0.0,1.1153060098329195,1.600048087240964
강남구,개포3동,1.1578244527505988,0.4588129072865378,1.7791393510587348,4.556905527805477,0.10216180606308926,1.1532487521989325,1.7689068717705307
강남구,개포4동,0.2598096603270829,0.3947050958785081,0.8256220688164915,5.018211893045774,0.0,0.760582179225298,2.10010049545324
강남구,논현1동,0.6853468261182637,1.4725193103218135,4.015995909782553,20.071826352290763,0.062350537566027056,0.7640619782198197,8.41465618299889
강남구,논현2동,0.9596108900251737,1.5090230950831833,5.349994226137639,23.895647391601862,0.14053310525256646,0.7892038932856158,9.998704769030862
강남구,대치1동,0.8356097206876025,0.7630503147243384,2.567063328295378,8.826692914611895,0.0873426411733604,0.9599220554040586,3.5906970558307103
강남구,대치2동,1.0530405185131773,0.5440119936131856,2.1746025396599475,6.695745600624955,0.12327349660259795,1.0487930047490532,2.6715851710855087
강남구,대치4동,0.9367148672201223,0.8719686735732592,3.2111980204794714,10.849935148654984,0.12153097236900047,0.9474699062547439,4.431161789106197
강남구,도곡1동,0.17713501983579405,1.0446668192035093,2.5611734193881053,9.871678980738047,0.12712477387854212,0.8464771075167937,4.097591820709458
강남구,도곡2동,0.3690374941355608,0.892122681713719,2.2556294731442,7.98317162147006,0.11177881398833212,0.9273636654421117,3.270969197147498
강남구,삼성1동,1.4748823802127942,1.1681581364022948,3.8900469409201306,15.652117404121606,0.28339005088790237,0.9431146402583593,6.379143248787599
강남구,삼성2동,1.2705777094780475,1.0959844445713207,5.483432121434403,22.38425114661152,0.17476117194541074,0.8165131754224579,9.3411359307027
강남구,세곡동,2.3254519939263023,0.3897726573852369,1.6843910904572972,3.0625516356253013,0.0,1.2190238498421242,1.2883378024934915
강남구,수서동,0.9760618796258558,0.2857318098121189,1.0482028418684417,3.701274902804703,0.23281006904132404,1.1634482341573689,1.4220578687658283
강남구,신사동,0.7524477637874564,2.0288852484133137,4.319754322915081,19.76111437868995,0.0,0.8149883209516102,8.208667609664644
강남구,압구정동,0.9804335046224497,1.7830526545624896,5.112268530046266,29.364245620480638,0.15314981989061904,0.7249549894062466,12.378496037013958
강남구,역삼1동,0.26335600076540017,0.9485169012358239,3.106436754124477,12.536325017773999,0.13117838123517506,0.7981608937157968,5.246238502313258
강남구,역삼2동,0.6212537373520673,1.129505215245623,3.4167534848718106,13.496865055308263,0.12725518641238223,0.8632014556597082,5.58776366419459
강남구,일원1동,1.0336085943458042,0.4539871376708136,1.6707557699479962,4.772234538380932,0.22439606324888237,1.1598149529144046,1.8432108771664564
강남구,일원본동,1.5505614236954954,0.38591101528150495,1.808914126212799,1.5349363510326042,0.0,1.2771637319422182,0.8070015393704355
강남구,청담동,1.4050754832861096,1.919556674621226,5.998287190920422,32.252248619459884,0.3628481402308729,0.7761449265428167,13.511274411822
강동구,고덕1동,0.33287565574477596,0.08665646708180542,1.329961359199505,1.5856189234606193,0.14337753210464546,1.1736968352804182,0.7074388313491112
강동구,고덕2동,0.2235020360348307,0.15301454746127963,1.2394537635128386,1.279205076628537,0.0,1.0772274721323971,0.6264123492313104
강동구,길동,0.4608434977974333,0.3658240042561558,0.765899054633666,3.0855852820515617,0.32087037359714965,1.1726048058519178,1.1788293989187788
강동구,둔촌2동,0.7374825941542527,0.6435099117147354,0.941711168896488,3.541955569755576,0.38378732399373955,1.264656285901585,1.2970091145635745
강동구,명일1동,0.45079307523710516,0.25174425712688764,1.0492619565772623,2.230765741324461,0.2504736343338339,1.256969980559051,0.8400699060439498
강동구,명일2동,0.3138410512344033,0.25714828434850234,0.8631991082337356,1.9061439153578823,0.23573810110856888,1.2605481619291767,0.7143240225953302
강동구,상일1동,0.20318064132829833,0.1147023409426829,0.7453368577809432,1.482030280116328,0.09290968298942248,1.132680943796962,0.5964550617126508
강동구,상일2동,0.0,0.389823991651302,0.8373538982014912,0.8078949880199693,0.0,1.04871004814854,0.41155627905467207
강동구,성내1동,0.6487702756097852,0.6109213952310912,1.2673534837324203,3.4879552378155676,0.3800583003402057,1.275641891378516,1.2778139135225455
강동구,성내2동,0.6104119308998383,0.5254795891023527,1.1326811016526845,3.196923937104501,0.42752506991525585,1.2894956062360938,1.1607387263959932
강동구,성내3동,0.7123268712689796,0.6784301070323103,1.1930148873915913,4.047788771426424,0.3266333779743584,1.2213823133389974,1.5164887087078343
강동구,암사1동,0.5437820159505954,0.1665704602019805,1.2368465665488966,2.004558678177946,0.26522630896463784,1.2790291276950794,0.7722117028219243
강동구,암사2동,0.7783783294607209,0.40173085463731784,1.7193729318552091,2.187611117420024,0.29159186434248907,1.3619989931464007,0.8378725026026579
강동구,암사3동,0.5101658791047923,0.12144834393699622,1.396866046422651,2.0074189697049922,0.24328323897514215,1.2381925670202785,0.8143848589797752
강동구,천호1동,0.48285936826430387,0.25122150253895376,0.8814639203982422,2.6855464263692834,0.393725581361671,1.2320223237307708,1.0040122686399444
강동구,천호2동,0.7266916006227657,0.41163725679013174,1.42414896901808,2.5039107144211576,0.35854895179839186,1.3524525286079763,0.8997031533156316
강동구,천호3동,0.5025732199290622,0.2775835992609318,0.8648427618349674,2.959133695629646,0.3516498883073532,1.193814562092931,1.1231382389982227
강북구,미아동,0.4488082506055915,0.12519412718648565,0.36328445370292783,0.8529770872152888,0.4899558801025681,1.4701542893664645,0.26307043694493637
