자치구,행정동,힐링,액티비티,문화,음식,쇼핑,숙박,체험다양성_엔트로피,체험다양성_표준편차
부천시 오정구,고강1동,0.6252267727811236,0.4979825791902778,0.8359005760285797,3.2091888620165854,2.847905987956752,0.0,1.3414773382127512,1.344407931706871
부천시 오정구,고강본동,0.6673096888503722,0.5408492436709689,0.855243992619827,3.2700874345363022,2.782158008935056,0.0,1.356310369094464,1.3361022431804015
부천시 오정구,성곡동,0.778080104208162,0.4286686535785814,0.8544626537794713,3.0951535876167644,2.665807902852001,0.0,1.3643007222279706,1.2655471473466358
부천시 오정구,신흥동,0.7026377996821034,0.3438808482822524,0.7736897984690689,2.9591635430021395,2.695294718259587,0.0,1.3333280837169252,1.2585736832040593
부천시 오정구,오정동,0.7446240593854898,0.4419600232627729,0.8652583796962523,3.188391854314577,3.1301164121248437,0.0,1.340618500661949,1.3989144742918795
부천시 오정구,원종1동,0.6775913669385418,0.4783380632293289,0.7571989137671397,3.046029743757689,2.451824178804725,0.0,1.360053295457079,1.2163264531255755
부천시 오정구,원종2동,0.6809874821359384,0.4374257340581766,0.7968272373694207,2.944772337669617,2.3778533040597,0.0,1.3664610166446869,1.1734369794715134
부천시 원미구,도당동,0.677484637015318,0.3554822013353071,0.7820596895367142,3.0363908054961515,2.447083349238047,0.0,1.3384115417612,1.2269342057587869
부천시 원미구,상1동,0.8722682238397109,0.3648201281636665,0.634462037667377,3.309488895551574,2.4772150260534938,0.0,1.3264568099339304,1.3123253288111767
부천시 원미구,상2동,0.7729437688147776,0.3117294093138024,0.624398701173785,3.1758927360553093,2.667603092783834,0.0,1.3028041786864435,1.3251424174749429
부천시 원미구,상3동,0.7672902259948207,0.3234490942668893,0.6780549921190845,3.1821640657545185,2.869940130848511,0.0,1.3052832994226038,1.3653884254103954
부천시 원미구,상동,0.7084607612557163,0.3868171577304832,0.6594159665424555,2.9530378783957243,2.681467764003664,0.0,1.3292572768658717,1.2567442633561985
부천시 원미구,심곡1동,0.622186755973476,0.3484117010989482,0.6936668041252576,2.668985716058499,2.359244442650141,0.0,1.3438154820923007,1.114834873546048
부천시 원미구,심곡2동,0.5813944525456739,0.3167017059954813,0.7522591774085157,2.352541613833868,1.6091999909213537,0.0,1.3891229169427135,0.8807857848137435
부천시 원미구,심곡3동,0.5727002330003534,0.3577072130561846,0.7046309657697023,2.726823441300477,1.8499191157974453,0.0,1.353200633059461,1.0372246126829492
부천시 원미구,약대동,0.6393249075103864,0.3058470750476081,0.743109015375907,2.961547840072611,2.6760504781441536,0.0,1.3115530106357112,1.268207416597004
부천시 원미구,역곡1동,0.795238114279768,0.4092234120720253,0.7863093048698379,2.714902504036603,1.7956844333410875,0.0,1.4065970444105578,0.9968670088829228
부천시 원미구,역곡2동,0.7356033315063855,0.4203369725932973,0.7394402931930424,2.644582846932366,1.671385545960418,0.0,1.4050505379113798,0.9614335903851235
부천시 원미구,원미1동,0.7491817582046736,0.3568773830378656,0.7818532266326615,2.638432214837717,2.2551176993517714,0.0,1.3808016666520158,1.0660304421286717
부천시 원미구,원미2동,0.7089003271154856,0.3485408486720399,0.7063434339351778,2.441596663403596,1.7539128396199142,0.0,1.3976383921582325,0.9210517436423092
부천시 원미구,중1동,0.6335302562708999,0.3176363579277486,0.6657687094800289,3.0866453499660933,2.427358512392895,0.0,1.304332947166071,1.256176845379393
부천시 원미구,중2동,0.6283875772093895,0.3430674783093898,0.6986324233377292,2.8089439458843954,2.694513583778856,0.0,1.3204522458690664,1.2308207330246197
부천시 원미구,중3동,0.6579985396216239,0.2940884984887337,0.6776641176148708,3.111102213210984,2.748092181171702,0.0,1.2910193375528132,1.3313348305045898
부천시 원미구,중4동,0.6637321542978004,0.2985291666509377,0.7179568241148351,3.3056875636174508,2.9505753584070016,0.0,1.2809279750849027,1.4269290075638474
부천시 원미구,중동,0.597203217537188,0.3166114298068349,0.6349915949363518,3.021773262688212,2.580975395449791,0.0,1.292169877464471,1.2750320414451652
부천시 원미구,춘의동,0.8126407311195776,0.3800001048532522,0.822293380957805,2.8811318681108853,2.4431299452250688,0.0,1.3754506298408502,1.1639120657663808
성남시 분당구,구미1동,0.8413771223554736,0.7523341385754039,1.0786996094832806,6.503829401726183,2.9814851234656974,0.0,1.2512632283666378,2.407966677287421
성남시 분당구,구미동,0.8232792619431516,0.865735559927538,1.0718591998605516,5.925712616143835,2.0841134020430183,0.0,1.2753644209266275,2.130685542444685
성남시 분당구,금곡동,0.7793495955754177,0.7216784791581061,1.023925326097979,6.43264013495693,2.7705000944240235,0.0,1.2349024566408973,2.379347047912611
성남시 분당구,백현동,0.8335616426153974,0.7564171792607648,0.8966266302929159,6.060387723339588,2.5187161446284607,0.0,1.248447251618141,2.2241781039323216
성남시 분당구,분당동,0.8083210324857225,0.9126889010877116,0.9257964662136646,6.0862580145623,1.826247408711662,0.0,1.2428164979745993,2.197180991185064
성남시 분당구,삼평동,0.831385669106161,0.7880414196982497,0.9293653521472792,5.9811176284395,2.365049006800447,0.0,1.257099672698173,2.179899112904513
성남시 분당구,서현1동,0.8827933429012269,0.9812703898616448,0.9973134739883402,6.789917783067889,2.2012114258523683,0.0,1.239791101631227,2.460549275381047
성남시 분당구,서현2동,0.8593294198027421,0.8576126281889436,0.973161337223273,5.980561943126327,1.997201697998009,0.0,1.2621045781815952,2.1545159126579407
성남시 분당구,수내1동,0.8030912457717807,0.7285249088240071,0.9350515217426804,5.923369761706888,2.249865035789105,0.0,1.246949204155945,2.1601067880011846
성남시 분당구,수내2동,0.8170323219921224,0.7783264092712937,0.8239100434906006,5.569282853342107,2.260648285606612,0.0,1.2648632748366817,2.028394468582783
성남시 분당구,수내3동,0.7987966548042713,0.7358376269593649,0.8981237260986217,5.379677592252643,1.7458178303072092,0.0,1.2610782585207485,1.9364022717158431
성남시 분당구,야탑1동,0.694927877255594,0.6923775948240911,0.8375710188222164,4.870440855202045,1.5249113575203357,0.0,1.2610597504080252,1.7507519330365826
성남시 분당구,야탑2동,0.7120082338526451,0.9130055637102706,0.8558515119265484,5.187141405215796,1.73626634179811,0.0,1.2800282928421942,1.857633701355538
성남시 분당구,야탑3동,0.8105859523334805,0.764292373480328,1.0030910870523415,5.367138985163328,1.5518814309675697,0.0,1.2687891460581568,1.919883592323634
