행정구,행정동,카테고리,리뷰수,평균평점,평균긍정점수,로그리뷰수,보정평점,보정긍정점수,인기도
서울 종로구,종로1·2·3·4가동,문화,391,4.468030690537084,8.282122762148337,5.971261839790462,4.444344570586808,8.239666909497416,6.222645747194279
경기 수원시,행궁동,문화,218,4.68348623853211,8.566146788990826,5.389071729816501,4.626003938008493,8.470905788069677,6.147862040836832
서울 종로구,청운효자동,문화,315,4.498412698412698,8.176666666666668,5.755742213586912,4.46767846657659,8.130221519472805,6.117599248307103
서울 강남구,청담동,음식,894,3.9161073825503356,7.367494407158837,6.796823718274855,3.9163782120285138,7.366506322351364,6.065457405234371
서울 성동구,성수2가3동,음식,1141,3.880806310254163,7.121735319894829,7.040536390215956,3.8815676698619535,7.124774603955515,6.062780610156035
경기 수원시,인계동,음식,586,4.093856655290103,7.662610921501707,6.375024819828097,4.08896842610928,7.652324115868285,6.062756696770725
서울 종로구,사직동,문화,320,4.41875,8.00984375,5.771441123130016,4.392712808786995,7.972969721847467,6.048241728858551
서울 성동구,성수1가2동,음식,1261,3.8318794607454403,7.008136399682791,7.140453043101158,3.833257958850668,7.012489261911214,6.046569055575862
서울 종로구,종로1·2·3·4가동,음식,2067,3.582486695694243,6.628456700532173,7.63433723562832,3.58548533782734,6.634404683925393,6.021082951058123
서울 강남구,압구정동,음식,1019,3.8508341511285575,7.143581943081453,6.927557906278317,3.852205332082936,7.146599581470053,6.020218128713666
경기 파주시,교하동,음식,894,3.868008948545861,7.25403803131991,6.796823718274855,3.869229089221496,7.2552892170882055,6.014310111880105
인천 강화군,길상면,음식,482,4.045643153526971,7.76844398340249,6.180016653652572,4.041473858740009,7.752207531968887,6.010523798331311
서울 종로구,가회동,문화,209,4.4688995215311005,8.245885167464115,5.3471075307174685,4.426153873876672,8.172263286275083,5.972241479354832
경기 안산시,대부동,힐링,199,4.42713567839196,8.30608040201005,5.298317366548036,4.385884467142878,8.224072654306193,5.9588570081198124
경기 파주시,탄현면,음식,764,3.880890052356021,7.1867931937172775,6.639875833826536,3.882016533721233,7.189800212256322,5.941093115732726
인천 중구,용유동,음식,815,3.8257668711656443,7.138662576687117,6.704414354964107,3.828015521452586,7.14252552939309,5.9315753353848155
