contentid,contenttypeid,title,createdtime,modifiedtime,tel,telname,homepage,booktour,firstimage,firstimage2,cpyrhtDivCd,areacode,sigungucode,cat1,cat2,cat3,addr1,addr2,zipcode,mapx,mapy,mlevel,overview
133201,39,송전매운탕,2.00607E+13,2.02503E+13,031-336-7339,송전매운탕,,,,,,31,23,A05,A0502,A05020100,경기도 용인시 처인구 이동읍 경기동로751번길 7,,17137,127.201974,37.13561097,6,"경기도 용인시 처인구 이동읍에 위치한 송전매운탕은 매운탕, 붕어찜 등 민물고기 요리가 유명한 음식점이다. 외관은 가정집 같은 모습이지만 방송에도 소개된 적 있는 음식점이다. 근처에는 송전저수지가 있어 뷰가 좋고 파인크리크 골프장, 레이크힐스 골프장, 한림용인cc, 신안cc 등 다양한 골프장이 인접하여 있어 골프장 이용객들이 많이 오가는 식당이다."
2739411,39,송정갈비,2.02109E+13,2.02412E+13,,,"<a href=""https://www.instagram.com/songjeongrib""target=""_blank"" title=""새창 : 인스타그램 이동"">https://www.instagram.com/songjeongrib</a>",,http://tong.visitkorea.or.kr/cms/resource/98/2775298_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/98/2775298_image3_1.jpg,Type3,31,23,A05,A0502,A05020100,경기도 용인시 수지구 신봉1로330번길 10 (신봉동),,16803,127.0541957,37.33378817,6,"광교산 전망이 한눈에 보이는 경치 좋은 갈비 전문식당이다. 개별룸과 단체석이 마련되어 있어, 가족 모임 등 단체 모임을 편안하게 이용할 수 있다. 단체 회식이나 기념일 행사를 진행할 수 있도록 음향 시설도 갖추고 있다. 신봉동 산자락에 위치해 드라이브 코스로도 좋은 갈빗집이며, 갈비는 구운 채로 포장 가능하다. 주변 관광지로 카페랄로, 오월다방 등이 있다."
2862020,39,송정상목장,2.02209E+13,2.02402E+13,,,,,http://tong.visitkorea.or.kr/cms/resource/97/2861997_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/2861997_image3_1.jpg,Type3,31,30,A05,A0502,A05020100,경기도 하남시 미사강변한강로 346,,12923,127.2011787,37.56031454,6,"송정상목장은 하남시 망월동에 있는 한우 전문 정육 식당이다. 주차 공간이 건물 2, 3, 4층에 있어서 편하게 주차할 수 있다. 정육점과 식당이 나누어져 있고 정육점에서 고기를 고른 뒤, 상차림비를 계산하면 식당으로 안내한다. 갈비탕 등 단품 음식도 판매하고 있다. 식당 내부는 아주 넓어 회식이나 가족 모임 하기에 좋다. 한우 육회를 주문하면 상차림비를 무료로 제공한다. 숯불은 아니지만 고기 철판이 두껍고 직원이 구워 주는 서비스를 제공한다."
2789360,39,송추가마골 본관,2.02112E+13,2.02407E+13,,,,,http://tong.visitkorea.or.kr/cms/resource/58/2795758_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/2795758_image2_1.jpg,Type3,31,18,A05,A0502,A05020100,경기도 양주시 장흥면 호국로 525,,11521,126.9718035,37.71755045,6,"갈비탕과 냉면이 대표메뉴인 한식당으로 기본 왕갈비탕 외에도 능이, 육개장, 매생이 등 여섯 종류의 갈비탕을 판매한다. 메밀냉면과 함흥냉면 등 네 종류의 냉면을 취급하며 고기류도 구이와 육회를 포함해 여섯 개 이상의 메뉴를 고를 수 있다. 갈비탕과 불고기 등 포장메뉴를 따로 고를 수 있고, 진열대의 다양한 식품과 함께 선물세트도 판매한다. 송추가마골 분점이 경기 및 서울 각 지역에 있으며 양주 본관 맞은편에 신관이 따로 있다."
2867316,39,송추도토리,2.0221E+13,2.02406E+13,,,,,http://tong.visitkorea.or.kr/cms/resource/12/2867312_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/12/2867312_image3_1.JPG,Type3,31,18,A05,A0502,A05020100,경기도 양주시 호국로 733,,11522,126.9917319,37.72676918,6,"경기도 양주시에 있는 도토리요리 전문점이다. 수육 도토리정식, 주꾸미 도토리정식, 도토리 들깨수제비, 도토리 묵사발, 도토리묵밥, 도토리묵무침, 도토리 토속전, 도토리 쟁반국수, 도토리 샐러드, 갈비만두 등 여러 가지 메뉴를 맛볼 수 있다. 도토리가 주재료인 요리가 많다. 그 때문에 다른 음식점에서 맛보기 힘든 특별한 메뉴가 있어 새로움을 느낄 수 있다. 도토리로 만든 면은 탱탱하고 쫄깃쫄깃하며, 묵무침 양념은 견과류를 갈아 넣은 듯한 식감이 인상적이다. 밑반찬도 정갈하고 다양하게 나온다. 주문 즉시 조리가 들어간다. 도토리빵, 도토리묵, 도토리수제비는 포장 판매도 하고 있다. 매장 앞 주차장이 넓어서 주차하기에 편리하다. 송추계곡, 안골계곡과 가깝다."
2674188,39,송탄두꺼비식당,2.02009E+13,2.02104E+13,031-611-1252,송탄두꺼비식당,,,http://tong.visitkorea.or.kr/cms/resource/12/2672912_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/2672912_image2_1.jpg,Type3,31,28,A05,A0502,A05020100,경기도 평택시 목천로25번길 92,,17752,127.0528722,37.08613625,6,한국인이 좋아하는 매운맛을 느낄 수 있는 곳이다. 대표메뉴는 양푼갈비다. 경기도 평택시에 있는 한식 전문점이다.
2674213,39,송탄부대찌개 비전,2.02009E+13,2.02204E+13,031-657-4316,송탄부대찌개 비전,,,http://tong.visitkorea.or.kr/cms/resource/40/2673740_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/40/2673740_image2_1.jpg,Type3,31,28,A05,A0502,A05020100,경기도 평택시 평택5로76번길 18-5,,17885,127.1123944,36.99344801,6,한결같은 마음과 정성으로 직접 담근 김치를 사용하는 20년 전통의 부대찌개 전문점이다.
2679613,39,송탄송쓰부대찌개,2.0201E+13,2.02103E+13,031-611-6466,송탄송쓰부대찌개,,,http://tong.visitkorea.or.kr/cms/resource/87/2679587_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/2679587_image2_1.jpg,Type3,31,28,A05,A0502,A05020100,경기도 평택시 중앙시장로9번길 31,,17758,127.0527334,37.08067021,6,송쓰부대찌개는 평택국제시장에 위치해 있다. 안전한 식재료와 가마솥에서 24시간 우려낸 진한 사골육수를 사용하여 얼큰하고 담백한 맛이 일품이다. 대표메뉴는 부대찌개다.
2907844,39,송트리타임콜라주,2.02211E+13,2.02407E+13,,,"<a href=""https://www.instagram.com/songtree_cafe/""target=""_blank"" title=""새창 : 송트리타임콜라주 사이트로 이동"">https://www.instagram.com/songtree_cafe/</a>",,http://tong.visitkorea.or.kr/cms/resource/37/2907837_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/37/2907837_image3_1.jpg,Type3,31,5,A05,A0502,A05020900,경기도 광주시 봉골길171번길 12-2,1층,12774,127.1973265,37.35726302,6,"송트리타임콜라주는 경기도 광주시 문현동에 있는 카페이다. 계곡을 따라 올라가면 나오는 블랙&화이트 조립 건물로 매장 앞에 주차장이 있어 편하게 주차할 수 있다. 깔끔하고 넓은 1층 매장에는 음료 제조 및 주문하는 공간이 있고 통창으로 되어 있는 전면에 좌석들이 배치되어 있다. 복층으로 되어 있는 2층에는 난간과 벽면으로 테이블이 정갈하게 배치되어 있다. 이곳은 아메리카노, 바닐라라떼 등의 커피 메뉴와 밀크티, 에이드, 초콜릿 음료 등의 다양한 음료가 있고 플레인 스콘, 무화과 스콘, 블루베리 스콘 등의 디저트 메뉴가 준비되어 있다. 1층에는 야외 테라스 자리가 있고 이곳에는 반려동물을 동반할 수 있다.
※ 반려동물 동반가능"
602559,39,송풍가든,2.00808E+13,2.0241E+13,031-252-4700,송풍가든,,,http://tong.visitkorea.or.kr/cms/resource/00/1790000_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/1790000_image3_1.jpg,Type3,31,13,A05,A0502,A05020100,경기도 수원시 장안구 경수대로 1013,,16300,127.0006208,37.30622929,6,"‘송풍가든’은 경기도 수원의 대표적 음식인 수원 왕갈비를 30년간 운영해 온 음식점이다. 이곳은 무항생제 최고급한우와 미국산 최우수 등급의 소고기만을 정직하게 엄선하여 사용 중이며 신선한 재료와 천연 조미료를 사용하여 만든 요리만을 제공한다. 그리고 이곳은 가족잔치, 생일, 단체모임 등에 어울리는 고급스럽고 깔끔한 2층 단체석을 보유하고 있으며 이곳은 예약전용이라 이용할 때 사전에 예약 후 방문하는 것을 추천한다."
