addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
서울특별시 강남구 테헤란로 440,,1,0.0,A02,A0206,A02060500,130226,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/54/684154_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/684154_image3_1.jpg,Type3,127.0560768,37.50587658,6.0,20240600000000.0,1,,포스코미술관,6194
서울특별시 광진구 광나루로56길 67,(구의동),1,0.0,A02,A0206,A02060700,130223,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/17/3478417_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/3478417_image3_1.jpg,Type3,127.0964722,37.5365043,6.0,20250300000000.0,6,,광진문화원,5119
서울특별시 강북구 삼각산로 85,(수유동),1,0.0,A02,A0206,A02060700,130217,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/33/1894733_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/1894733_image3_1.jpg,Type3,127.0133102,37.64084346,6.0,20240800000000.0,3,,강북문화원,1036
서울특별시 양천구 목동남로 106 (신정동),,1,0.0,A02,A0206,A02060700,130215,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/58/3396358_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/58/3396358_image3_1.JPG,Type3,126.870213,37.510856,6.0,20250300000000.0,19,,양천문화원,8102
서울특별시 송파구 올림픽로 44,(잠실동),1,0.0,A02,A0206,A02060700,130214,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/05/3478505_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/3478505_image3_1.jpg,Type3,127.0760526,37.50969316,6.0,20250300000000.0,18,,송파문화원,5572
서울특별시 성북구 성북로4길 13-8 (동소문동1가),,1,0.0,A02,A0206,A02060700,130213,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/90/3393290_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/90/3393290_image3_1.JPG,Type3,127.0057623,37.58976592,6.0,20250300000000.0,17,,성북문화원,2834
서울특별시 관악구 신림로3길 35,(신림동),1,0.0,A02,A0206,A02060700,130212,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/07/3476907_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/07/3476907_image3_1.JPG,Type3,126.9448852,37.46765124,6.0,20250300000000.0,5,,관악문화원,8825
서울특별시 도봉구 도봉로 552,,1,0.0,A02,A0206,A02060700,130211,14,20071100000000.0,,,,127.0384297,37.65408959,6.0,20241200000000.0,10,,도봉문화원,1427
서울특별시 중구 청계천로 86 (장교동),,1,0.0,A02,A0206,A02060700,130209,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/81/3478581_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/81/3478581_image3_1.jpg,Type3,126.9865425,37.56757371,6.0,20250300000000.0,24,,서울 중구문화원,4541
서울특별시 종로구 율곡로 5,,1,0.0,A02,A0206,A02060700,130207,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/15/1894715_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/1894715_image3_1.jpg,Type3,126.9802817,37.57609483,6.0,20241100000000.0,23,,종로문화원,3062
서울특별시 강남구 봉은사로 406,(삼성동),1,0.0,A02,A0206,A02061100,130198,14,20040200000000.0,http://tong.visitkorea.or.kr/cms/resource/39/683839_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/683839_image3_1.jpg,Type3,127.0446444,37.51020087,6.0,20241000000000.0,1,,국가무형유산전수교육관,6153
서울특별시 종로구 자하문로6길 20,(통의동),1,0.0,A02,A0206,A02060500,130190,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/42/683542_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/683542_image3_1.jpg,Type3,126.9732156,37.57806948,6.0,20241200000000.0,23,,갤러리 시몬,3044
서울특별시 중구 세종대로 110,(태평로1가),1,0.0,A02,A0206,A02060900,130183,14,20071100000000.0,,,,126.978371,37.56659868,6.0,20240500000000.0,24,,서울도서관,4524
서울특별시 도봉구 도봉산길 86 (도봉동),,1,0.0,A02,A0206,A02060100,130182,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/39/2363839_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/39/2363839_image2_1.png,Type3,127.0351735,37.68715791,6.0,20250400000000.0,10,,국립공원 산악박물관,1300
서울특별시 마포구 토정로 6,(합정동),1,0.0,A02,A0206,A02060100,130181,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/77/1807777_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/1807777_image3_1.jpg,Type3,126.9117555,37.5441251,6.0,20241200000000.0,13,,한국천주교순교자박물관,4085
서울특별시 서초구 신흥안길 40-10,,1,0.0,A02,A0206,A02060100,130179,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/46/1570746_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/1570746_image3_1.jpg,Type3,127.0754765,37.45346356,6.0,20240800000000.0,15,,분재박물관,6801
서울특별시 강동구 올림픽로 875,,1,0.0,A02,A0206,A02060100,130178,14,20071100000000.0,,,,127.130324,37.56062433,6.0,20250300000000.0,2,,암사동 선사유적박물관,5239
서울특별시 중랑구 면목로 238,(면목동),1,0.0,A02,A0206,A02060700,130175,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/98/1894698_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/98/1894698_image3_1.jpg,Type3,127.0849944,37.57379143,6.0,20241200000000.0,25,,중랑문화원,2254
서울특별시 중랑구 신내로15길 197,(묵동),1,0.0,A02,A0206,A02060900,130174,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/93/1894693_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/1894693_image3_1.jpg,Type3,127.0868931,37.61515332,6.0,20241000000000.0,25,,중랑구립정보도서관,2041
서울특별시 중구 세종대로 99,,1,0.0,A02,A0206,A02060500,130173,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/04/2991504_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/2991504_image3_1.jpg,Type3,126.9748047,37.5657876,6.0,20250400000000.0,24,,국립현대미술관 덕수궁,4519
서울특별시 중구 세종대로 135-5,"3,4층",1,0.0,A02,A0206,A02060100,130157,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/88/2833488_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/88/2833488_image3_1.jpg,Type3,126.9764156,37.56860397,6.0,20241200000000.0,24,,신한은행 한국금융사박물관,4519
서울특별시 서초구 남부순환로 2572 (서초동),,1,0.0,A02,A0206,A02060100,130156,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/96/682196_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/682196_image3_1.jpg,Type3,127.0312797,37.48367593,6.0,20240900000000.0,15,,외교사료관,6750
서울특별시 종로구 우정국로 68 동덕빌딩,B1 동덕아트갤러리,1,0.0,A02,A0206,A02060500,130155,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/69/3048969_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/69/3048969_image3_1.JPG,Type3,126.9833315,37.57498946,6.0,20240500000000.0,23,,동덕아트갤러리,3145
