행정구,행정동,카테고리,avg_rating,review_count,positive_ratio,log_review_count,review_scaled,positive_scaled,rating_scaled,popularity_index
경기 가평군,가평읍,액티비티,3.204724409448819,127.0,0.31496062992125984,4.852030263919617,0.5237877726319182,0.31496062992125984,0.5511811023622047,0.46661829576477803
경기 가평군,가평읍,음식,3.765486725663717,452.0,0.5464601769911505,6.115892125483034,0.7401069920065726,0.5464601769911505,0.6913716814159292,0.6722658853838173
경기 가평군,가평읍,힐링,4.5,88.0,0.4772727272727273,4.48863636973214,0.461590244637118,0.4772727272727273,0.875,0.5489769405003773
경기 가평군,북면,문화,4.0,10.0,0.7,2.3978952727983707,0.10374458463456088,0.7,0.75,0.41187229231728045
경기 가평군,북면,액티비티,3.782608695652174,69.0,0.5797101449275363,4.248495242049359,0.42048833084423815,0.5797101449275363,0.6956521739130435,0.5232876436829886
경기 가평군,북면,음식,3.6610169491525424,59.0,0.559322033898305,4.0943445622221,0.3941043123526478,0.559322033898305,0.6652542372881356,0.49789961380344255
경기 가평군,북면,힐링,3.6379310344827585,58.0,0.46551724137931033,4.07753744390572,0.39122765088773154,0.46551724137931033,0.6594827586206896,0.4671655495817968
경기 가평군,상면,문화,4.222222222222222,9.0,0.7777777777777778,2.302585092994046,0.08743154891384897,0.7777777777777778,0.8055555555555556,0.4381602189013689
경기 가평군,상면,액티비티,4.1375,80.0,0.55,4.394449154672439,0.4454694125617015,0.55,0.784375,0.5446097062808508
경기 가평군,상면,음식,3.4816326530612245,245.0,0.46530612244897956,5.5053315359323625,0.6356050728259828,0.46530612244897956,0.6204081632653061,0.5814760058007465
경기 가평군,상면,힐링,3.961038961038961,154.0,0.5064935064935064,5.043425116919247,0.5565464042928112,0.5064935064935064,0.7402597402597403,0.5782732021464057
경기 가평군,서종면,힐링,2.625,8.0,0.125,2.1972245773362196,0.06939832456145129,0.125,0.40625,0.15344916228072564
경기 가평군,설악면,문화,4.333333333333333,6.0,0.5,1.9459101490553132,0.026384018491590222,0.5,0.8333333333333333,0.32985867591246176
경기 가평군,설악면,액티비티,3.949438202247191,178.0,0.47191011235955055,5.187385805840755,0.5811863311671104,0.47191011235955055,0.7373595505617978,0.5796381094037799
경기 가평군,설악면,음식,3.6149253731343283,335.0,0.4955223880597015,5.817111159963204,0.6889684402464109,0.4955223880597015,0.6537313432835821,0.6238872051978324
경기 가평군,설악면,힐링,4.07514450867052,173.0,0.5722543352601156,5.159055299214529,0.5763373573478572,0.5722543352601156,0.76878612716763,0.6136022046854892
경기 가평군,수동면,힐링,3.75,12.0,0.5833333333333334,2.5649493574615367,0.1323371154218903,0.5833333333333334,0.6875,0.3786685577109452
경기 가평군,이동면,액티비티,1.0,6.0,0.16666666666666666,1.9459101490553132,0.026384018491590222,0.16666666666666666,0.0,0.0631920092457951
경기 가평군,일동면,액티비티,4.285714285714286,14.0,0.6428571428571429,2.70805020110221,0.15682987347530014,0.6428571428571429,0.8214285714285714,0.4355577938805072
경기 가평군,조종면,액티비티,3.2745098039215685,51.0,0.5098039215686274,3.9512437185814275,0.36961155429923814,0.5098039215686274,0.5686274509803921,0.4514724438162857
경기 가평군,조종면,음식,3.8020833333333335,96.0,0.46875,4.574710978503383,0.47632254469587715,0.46875,0.7005208333333334,0.5188904390146053
경기 가평군,청평면,문화,4.3076923076923075,13.0,0.6923076923076923,2.6390573296152584,0.14502123793026406,0.6923076923076923,0.8269230769230769,0.4455875420420551
경기 가평군,청평면,액티비티,3.4367816091954024,87.0,0.41379310344827586,4.477336814478207,0.45965624295058255,0.41379310344827586,0.6091954022988506,0.4758051329695442
경기 가평군,청평면,음식,3.9765625,512.0,0.57421875,6.240275845170769,0.7613961771335633,0.57421875,0.744140625,0.7017918385667816
경기 가평군,청평면,힐링,3.5357142857142856,28.0,0.17857142857142858,3.367295829986474,0.2696645939090581,0.17857142857142858,0.6339285714285714,0.3151894398116719
경기 고양시,가좌동,음식,4.333333333333333,33.0,0.6363636363636364,3.5263605246161616,0.29688968204471683,0.6363636363636364,0.8333333333333333,0.506020598598116
경기 고양시,고봉동,음식,3.7918552036199094,221.0,0.5429864253393665,5.402677381872279,0.6180350620936599,0.5429864253393665,0.6979638009049773,0.6115062188296354
경기 고양시,고봉동,힐링,4.142857142857143,7.0,0.7142857142857143,2.0794415416798357,0.04923889487722266,0.7142857142857143,0.7857142857142858,0.39604801886718277
경기 고양시,고양동,문화,4.153846153846154,13.0,0.46153846153846156,2.6390573296152584,0.14502123793026406,0.46153846153846156,0.7884615384615385,0.3686644651189782
경기 고양시,고양동,음식,3.75,92.0,0.44565217391304346,4.532599493153256,0.4691148553789624,0.44565217391304346,0.6875,0.5057530798633942
경기 고양시,관산동,문화,5.0,8.0,0.5,2.1972245773362196,0.06939832456145129,0.5,1.0,0.38469916228072565
경기 고양시,관산동,액티비티,3.727272727272727,11.0,0.36363636363636365,2.4849066497880004,0.11863721943867395,0.36363636363636365,0.6818181818181818,0.3047731551738824
경기 고양시,내손1동,음식,3.225,40.0,0.4,3.713572066704308,0.3289323093871838,0.4,0.55625,0.39571615469359195
경기 고양시,능곡동,음식,3.654320987654321,81.0,0.41975308641975306,4.406719247264253,0.4475695288258577,0.41975308641975306,0.6635802469135802,0.4824267397215708
경기 고양시,대덕동,음식,4.0,8.0,0.375,2.1972245773362196,0.06939832456145129,0.375,0.75,0.2971991622807256
경기 고양시,대화동,문화,4.03125,64.0,0.46875,4.174387269895637,0.4078042083358642,0.46875,0.7578125,0.49608960416793213
