addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode,시도명,시군구명,법정동,행정동
경기도 김포시 하성면 평화공원로 139,,31,0.0,자연,자연관광지,산,125454,12,20031124090000,http://tong.visitkorea.or.kr/cms/resource/54/3480454_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/3480454_image3_1.jpg,Type3,126.594095603,37.7432407104,7.0,20250306173301,8.0,,애기봉평화생태공원,10004,경기도,김포시,하성면,하성면
경기도 김포시 하성면 평화공원로70번길 290-97,,31,,레포츠,육상 레포츠,"야영장,오토캠핑장",2761908,28,20211026010302,http://tong.visitkorea.or.kr/cms/resource/25/2762525_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/25/2762525_image2_1.JPG,Type3,126.6114690844,37.740685761,6.0,20241218103352,8.0,,봉바위농원,10004,경기도,김포시,하성면,하성면
경기도 김포시 하성면 하성로 585,,31,0.0,인문(문화/예술/역사),휴양관광지,테마공원,128156,12,20040531090000,,,,126.6301344983,37.7244213211,6.0,20241209124953,8.0,,태산패밀리파크,10008,경기도,김포시,하성면,하성면
경기도 김포시 한강2로 41,,31,,쇼핑,쇼핑,사후면세점,2905020,38,20221101144808,,,,126.6779463494,37.6412318617,6.0,20240324141942,8.0,,롯데마트_김포한강점,10090,경기도,김포시,장기동,장기동
경기도 김포시 향동로 5,,31,,음식,음식점,중식,2845545,39,20220830101304,http://tong.visitkorea.or.kr/cms/resource/32/2845532_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/2845532_image3_1.jpg,Type3,126.6333343384,37.6206306921,6.0,20240227145424,8.0,,복많네짬뽕 본점,10069,경기도,김포시,양촌읍,양촌읍
경기도 김포시 흥신로239번길 49,,31,,음식,음식점,한식,2844649,39,20220826154040,http://tong.visitkorea.or.kr/cms/resource/48/2844648_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/2844648_image3_1.jpg,Type3,126.6103626479,37.6766876453,6.0,20240704164140,8.0,,꼬꼬오리주물럭,10034,경기도,김포시,양촌읍,양촌읍
경기도 남양주시 가운로 135-7 동원생고기집,,31,,음식,음식점,한식,2864081,39,20221006094140,http://tong.visitkorea.or.kr/cms/resource/77/2864077_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/77/2864077_image3_1.jpeg,Type3,127.1652253831,37.5964458017,6.0,20240620174033,9.0,,왕릉순두부보쌈,12265,경기도,남양주시,다산동,다산2동
경기도 남양주시 강변북로 681-1,,31,,음식,음식점,중식,2867369,39,20221014134056,http://tong.visitkorea.or.kr/cms/resource/64/2867364_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/64/2867364_image3_1.JPG,Type3,127.1706444907,37.5909715361,6.0,20240628133042,9.0,,홍콩,12268,경기도,남양주시,수석동,다산2동
경기도 남양주시 강변북로 716 고향가는길,,31,,음식,음식점,한식,2867755,39,20221014154937,http://tong.visitkorea.or.kr/cms/resource/40/2867740_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/40/2867740_image3_1.JPG,Type3,127.174021896,37.5932241135,6.0,20240701094930,9.0,,고향가는길,12268,경기도,남양주시,수석동,다산2동
경기도 남양주시 강변북로632번길 14 (수석동),,31,0.0,인문(문화/예술/역사),휴양관광지,공원,2733839,12,20210813191433,,,,127.1709446046,37.5860276716,6.0,20250404145946,9.0,,남양주한강공원(삼패지구),12268,경기도,남양주시,수석동,다산2동
경기도 남양주시 강변북로632번길 22,(수석동),31,,음식,음식점,한식,799146,39,20090908011249,http://tong.visitkorea.or.kr/cms/resource/42/3106142_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/42/3106142_image3_1.JPG,Type3,127.1719445137,37.5860276897,6.0,20240530153822,9.0,031-566-3564,미음매운탕,12268,경기도,남양주시,수석동,다산2동
경기도 남양주시 강변북로632번길 26 (수석동),,31,0.0,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,611647,12,20080820013229,http://tong.visitkorea.or.kr/cms/resource/56/3404756_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/56/3404756_image3_1.JPG,Type3,127.1723500318,37.5860360291,6.0,20250325165231,9.0,,미음나루터(미음나루 풍속마을),12268,경기도,남양주시,수석동,다산2동
경기도 남양주시 강변북로632번길 41-16,,31,,음식,음식점,카페/전통찻집,2830252,39,20220729110420,http://tong.visitkorea.or.kr/cms/resource/41/2830241_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/41/2830241_image3_1.jpg,Type3,127.1742303874,37.5870303924,6.0,20240625104949,9.0,,어나더쥬얼리,12268,경기도,남양주시,수석동,다산2동
경기도 남양주시 강변북로632번길 54,,31,,음식,음식점,카페/전통찻집,2862046,39,20220929145624,http://tong.visitkorea.or.kr/cms/resource/31/2862031_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/31/2862031_image3_1.jpg,Type3,127.1755608294,37.5867748906,6.0,20240704144722,9.0,,한강632스트릿,12268,경기도,남양주시,수석동,다산2동
경기도 남양주시 강변북로632번길 57-2 (수석동),,31,,음식,음식점,한식,799503,39,20090908192016,,,,127.1754052831,37.5869693096,6.0,20250404161645,9.0,031-569-5553,본가제주밥상,12268,경기도,남양주시,수석동,다산2동
경기도 남양주시 강변북로632번길 57-28,,31,,음식,음식점,서양식,798518,39,20090907191546,,,,127.1740748223,37.5878830684,6.0,20240611145149,9.0,031-566-7777,가든갤러리,12268,경기도,남양주시,수석동,다산2동
경기도 남양주시 강변북로632번길 57-28 가든갤러리,,31,,음식,음식점,카페/전통찻집,2847394,39,20220901094326,http://tong.visitkorea.or.kr/cms/resource/88/2847388_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/88/2847388_image3_1.jpg,Type3,127.1741498181,37.5877969686,6.0,20240130170210,9.0,,힐링힐스,12268,경기도,남양주시,수석동,다산2동
